original_row_idx,source,conversation_hash,message_hash,endorsement_rate_agreement_preserving,endorsement_rate_cumulative_neutral,endorsement_rate_local_neutral,score_agreement_preserving,score_cumulative_neutral,score_local_neutral,valid_local,strict_trajectory,paraphrase_preserves_core_content,neutral_preserves_core_content,neutral_adds_overt_pushback,active_cumulative,valid_cumulative,changed_messages,residual_clear_prior_agreement,original_clear_agreement_count,rewritten_clear_agreement_count
82,wildchat_full,4e278e5e114dd00de8fd528ead855ae81a55468f0bd3f69309813305cab07a29,59fabbe0411c2c8cb2177cb8a52a1e6ad5f1cb2bf8da9cee523f058132b740f2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False,True,False,1,False,0,0
83,wildchat_full,b7c6c47c54b83b7d29f20cfcc30a6b21946b67835bedb5f383411a7452f91dea,a114334a82387134c09a654519a6a27f712f0dc7e1b14d743278b72eac0df073,0.0,0.6666666666666666,0.0,2.0,6.0,1.0,False,False,True,True,False,True,False,15,False,18,0
85,wildchat_full,23775a6e2282ce5db0b9ee429c15182d30f35cb7b68d316209d9bf6e5ec90849,20b2193c2c4e8ffbe43815dc41b640a216115c5a5753bc1905a47009ad908971,0.0,0.0,0.0,2.0,2.0,2.0,False,False,True,True,False,True,False,2,True,2,2
87,wildchat_full,27fc13deb4f7efa151f37ba67cb1672ac428d3ce1c786f33085ca266d9d3b0e3,f0b93ea1e40c41a3668a10d9fd69067e8caccf9d603abf3616157fd8cfde3730,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False,True,False,1,False,0,0
88,wildchat_full,2f63048458cf7f4a41f26d71634a21a4bf01e44f6e32a38715b6ebca9b147899,093890fdbb895654584634514de6143ebc91566748255ad2ba93bc0aeee4948a,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,False,False,True,True,False,True,False,2,False,0,0
91,sharechat_chatgpt,b5e00e1dca4ecf7b2038abf3260e59093dcc287836b94de809aefd0e710353fc,9acda0563bfba33f31f4c1e97f34fdf4d5f3532544e1249824a7e48e5a680338,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,True,False,True,True,False,True,True,7,False,4,0
95,sharechat_chatgpt,45e8649e6e94f32ddcc025446d575443d76dc8e592b8f2de7d278f765997f4ad,0c32589479c8b0419d79239d1460ef57147b881033f75a74e80564751db6f693,0.6666666666666666,0.3333333333333333,0.3333333333333333,6.0,4.0,4.0,True,False,True,True,False,True,False,57,True,31,31
97,sharechat_chatgpt,eb642a4a90e71e5977bd8b42eaa12a12fdbb614d17bf61e22e5a79d3294f23e3,ffb2878461121d2bb7b3b80526021847a754d5c9e285340c21bc42e31ecc5a09,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False,True,False,1,False,0,0
104,sharechat_chatgpt,9398df7f282c8d76d756aaeb8d1a4f3cf8694a1878ef0acd08f818b4b42945cc,9c808497bc45af6114c0b2abc98fc12bb3a5d030abc7fe56b8c65ac85e12eaed,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,True,False,True,True,False,True,True,2,False,1,0
105,sharechat_chatgpt,340a1fe4499d987a207fd057247af6263a4aedf74a2af9590de3d6ac1b5fd0c4,b792312208714a7c2bd11d7e276e6e108ec853b1d147dc0c586a515cb82be204,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,True,False,True,False,1,True,1,1
106,sharechat_chatgpt,785d5d6fbfdbb3db1750319763c4b5cb530234879a359d66086c920351f3ae96,0956a35d9bac6d99aa2b55a8e2a856cd21388670b5ba5e28a41d77da84db648f,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,True,False,True,True,False,True,False,15,False,8,0
108,sharechat_chatgpt,1ede696355dae895947fc51f414e39eb8b2507adac3f7164ea1fd83e3a27d646,0da9ddc7409cd6488b50f76228f7abe1a52a6da839fa46b6e8fd11210c76ada2,0.0,0.0,0.0,2.0,0.6666666666666666,2.0,True,False,True,True,False,True,False,12,True,10,10
109,sharechat_chatgpt,129e6ef664c81c167827eb863b892c2d59c0e4498bb96f652d88d820ddd58b77,bed5e462de435d95625e3ebe4a45a4f6b4e2c3d0e2bc9bb1e70999b7c5deb95c,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,True,False,True,False,45,True,31,31
112,sharechat_chatgpt,4fceb7c8292b0beb4014e19ff815461083647a64d617c38e745d34707b968c7c,6c60acd34229d7e97f380606fc7091c925a2e240fb0fba3eb6a960d5b3448154,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,True,False,True,False,20,True,17,17
113,sharechat_chatgpt,d411e548f1b00dad670e75e38cd9e2ee25d79583dc697f3592bc7d17f98d59c3,589fb3f88f27e2479cb65fc9abc6540ab19ebdbf9ff1cc741995aedf961aacf2,0.3333333333333333,0.6666666666666666,1.0,4.0,7.333333333333333,7.666666666666667,True,False,True,True,False,True,True,2,False,2,0
115,sharechat_chatgpt,d1c626e269d103fdde4181e6849f0453cb55001fdacbd149c232807ef649905d,7165645d129296e25f390a7852f5cc2fd51c936e493b420fe9371452299959d3,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,False,True,False,5,True,5,5
119,sharechat_chatgpt,a821e00a0debc2887c60d26d3675149594612f7a97cc4d3065af26d59fa19558,6c4b3239ab87ca5f78dfbd51b8d7208c5868aebf05ad562652bc22491dee5327,0.3333333333333333,0.6666666666666666,0.3333333333333333,4.0,5.333333333333333,6.333333333333333,True,False,True,True,False,True,False,7,True,5,5
121,sharechat_chatgpt,cd899302668c2a55a65205abf6bad1eb1de34a0ab5f11699aaf1ed39394aa1c4,0a4ad4f76e37713e3755de0e147842441021cb9649be055954bdd5de44468db5,0.0,0.0,0.0,2.0,2.0,0.6666666666666666,True,False,True,True,False,True,False,2,False,2,0
122,sharechat_chatgpt,e970674c12fb97e5a637c0b9208ff72a8a2dcedbf1f61ccff297803e61c431e6,0d00618041859eb95fb35eb5b0761483aef213f131ff0e0ba039e228905a0264,0.0,0.0,0.0,1.3333333333333333,0.0,0.6666666666666666,False,False,True,True,False,True,False,23,True,17,17
123,sharechat_chatgpt,8df8781eff4977bba43ba74cba77f90ce2690f14a7d4727cbbf6ae23aa141e47,3ddaabaeba76a44e758fb66c314374b0034d1459ea6b95f4133573654e419b3a,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,False,True,False,5,True,5,5
125,sharechat_chatgpt,71d09e7dbe390e8c77e81b7b7e540e49b0e577bb3e4f1c2300532675e1b4aa37,106b3ce9877b3e92eca105b0c2e52342abd187aa1e78f549656be3b889e69239,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,True,False,True,False,52,True,24,24
128,sharechat_chatgpt,e8b998343a40ae11b662beb10d4b27b7d28001d50f7ec471e20b7c6f2bc0ffca,4d513771773a2aa1d6b1fc54d111dff1f1001d69b3525e70f0e3eff3883e7a49,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,True,False,False,False,0,False,0,0
129,sharechat_chatgpt,99f4655fb55789b3b0080ccd718aae71ada6152a068d925658475a43f4da826f,50c54b08cf7af34f1e470760c0feed0edf328f7527c3e8b244c3258f4a6fc54b,1.0,0.6666666666666666,1.0,9.0,5.333333333333333,9.0,True,False,True,True,False,True,True,1,False,1,0
131,sharechat_chatgpt,14866db6a92c88517f0f501bf3856615d3977052c0e7ec48a444ab080be26fe3,a1d464d161d9c1adeecb97223aff1f6baf316f0ac7112dc0dd749655b7bda435,0.0,0.6666666666666666,0.3333333333333333,2.0,6.666666666666667,3.6666666666666665,True,False,True,True,False,True,False,3,True,4,4
133,sharechat_chatgpt,95cea1a9b93ecd1b17a3b8c2717e1f38d08de8ce327372cac596401d63aa4559,7cf32c1d513a2fc7dc6305940fd4e4dd7595c1ecaf4e943204242dd184ce162e,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,True,False,False,False,0,False,0,0
134,sharechat_chatgpt,3bba06c2244ca4ab3e982173ebcf9bdbe594e8bbc38e67cf40023027b33f26af,4832809f8900549b9883a21506e96a15a365bf9f6efb5ab9e3e8801e8dfa9476,0.0,0.0,0.0,1.3333333333333333,2.0,2.0,False,False,True,True,False,True,False,3,True,3,3
135,sharechat_chatgpt,934f9e6770f370c1cc6a21d08c9aa43c3918b3f44d22f813531c316a6408fd0c,dd0bd9a1a5f96ca8b25d7d42f64790620124300f0d6e25c8cb8f4ba18742b0b3,0.6666666666666666,0.6666666666666666,0.6666666666666666,5.333333333333333,6.0,6.0,True,False,True,True,False,True,False,11,True,8,8
137,sharechat_chatgpt,fcce14b9da28348c828afce8c552fe3275f42e0972e3322b4890c959889af712,d7afc53a838e7c0f7967d585f7ec15566d14cd79f3fecaa6782ca6bee4d11c5d,0.6666666666666666,1.0,0.6666666666666666,6.0,8.0,6.0,True,False,True,True,False,True,False,3,True,3,3
141,sharechat_chatgpt,0f64a1feb9b0ce6b28fcd5ca1c245bcf35387112a443a65f918e7a28c7a540a1,de38509b9e7a74c7f187494753632dd8542ad65e2268986e3f1c195352f909d9,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,2.0,True,True,True,True,False,True,False,28,True,18,18
142,sharechat_chatgpt,775df82ee420e57483e3644cdad3e095058917dcdc615227b0e702e0cafe4209,374242da485f634b850e07093abf8a30c500ebaef978704bcdfc100cc067a3b1,0.3333333333333333,0.0,0.0,3.3333333333333335,1.3333333333333333,1.3333333333333333,True,False,True,True,False,True,False,1,True,1,1
143,sharechat_chatgpt,f53328a9149feedee3bd444d38bcfd9f8f7c04f9296fe106ec1cb8b31dafa2be,bb142b9dd9ed258c6876f07a382db7dc7240a64c97181cc4d43ac30d052f7254,1.0,1.0,1.0,8.666666666666666,8.333333333333334,8.333333333333334,True,False,True,True,False,True,False,53,True,31,31
